annual_gwh,latitude,longitude,altitude
105.3,42.23193,23.949379999999998,387.2
290.0,45.21348,6.72053,1091.5
948.0,41.872,-8.2025,334.4
148.0,48.6333,14.2375,719.9
50.0,46.443064,9.334613000000001,1249.0
360.0,41.0716,-8.486,14.0
150.0,41.404999,21.936001,174.6
210.0,45.03048,6.07914,751.2
548.0,46.40251,16.0337399999999,200.4
577.0,46.44793,15.7869299999999,231.4
2000.0,42.104,19.826,106.6
510.0,60.563680500000004,17.44205,17.4
340.0,63.74985,13.54035,592.8
415.0,63.344498,13.4603049999999,318.0
430.0,61.3375,22.113611,27.0
1090.0,45.68545,6.62248999999999,1550.9
579.0,66.339996,27.155001000000002,125.9
304.8,39.91727,-8.13243999999999,182.2
113.0,41.958,0.634,699.3
2300.0,63.851980000000005,20.051344,99.0
522.0,63.5322,17.2946,239.0
160.0,41.632529999999996,25.33801,300.9
604.0,64.0448895,17.692220499999898,366.6
200.0,42.77668,1.67671,553.0
217.0,41.583999999999996,26.108,110.4
332.0,62.472822,16.325252,59.0
1650.0,49.9515671281818,6.18003128690909,249.2
384.0,46.349998,8.6,582.9
440.0,64.479423,18.878073,204.0
356.0,54.874140000000004,24.0,48.5
338.0,66.42400400000001,25.540001,74.4
126.0,58.275,12.2726,15.8
374.0,65.095,17.101667000000003,354.0
420.0,62.3833333,17.3166667,25.0
28.5,47.491345,13.956942999999999,665.9
7.0,57.775002,-4.955,472.0
507.0,46.175999,8.684,696.5
1150.0,45.446999,23.768,1277.2
462.0,64.9687,17.54421,327.9
534.0,65.40360600000001,18.673154,404.2
428.0,63.636633499999895,16.7869399999999,181.4
137.0,42.772,2.213,455.8
450.0,46.3479,16.2684,178.3
457.0,66.155998,25.125,40.0
255.0,42.588,1.797,1428.8
383.9,41.4,-7.59,776.0
153.381666666667,45.2286,14.6736,92.7
1330.0,42.243999,20.014999,715.8
204.0,59.049013,17.465807,46.4
451.0,62.80183,16.637707000000002,135.6
200.0,62.53208299999999,13.092083,651.5
214.0,66.706406,19.516481,284.0
571.0,63.112908999999995,16.354573000000002,124.5
433.0,66.36875,26.689583000000002,99.0
187.3,41.83225,24.42183,565.6
165.0,41.61227,25.640520000000002,172.0
220.0,39.28,-7.59,260.0
180.0,47.586290000000005,8.13207,309.0
145.0,41.72052,24.42502,713.3
1701.0,43.4581,16.7027,51.6
285.0,42.027190000000004,24.47085,258.1
340.0,63.028895999999996,16.569357999999898,106.0
348.0,60.065049261530504,15.9236633777618,134.0
390.5,46.3113,16.4945,156.4
350.0,46.3205,16.7489,137.9
33.0,39.545417,-1.502917,620.0
6.6,47.09048,11.792702,1020.7
4.0,56.509997999999996,-4.228,271.8
7.0,56.699001,-4.408,269.2
305.0,46.577290000000005,15.4059899999999,297.8
685.0,48.681999999999896,7.919,130.7
328.0,65.509167,15.625556,427.0
297.0,46.58659,15.2754799999999,317.0
255.0,40.96,20.067999999999998,133.6
536.0,63.597923,16.120589499999898,267.1
1190.0,66.95428100000001,19.796076,366.6
200.0,61.46208299999999,23.437917000000002,88.3
151.0,42.317001,0.2,504.0
147.0,42.1194,24.289,242.2
120.0,41.682916999999996,19.89625,122.0
306.0,63.821222,17.1450079999999,264.0
1840.0,66.691226,20.345341,167.1
337.4,41.653,-8.231,138.4
140.0,66.4990459999999,17.107241000000002,542.1
852.0,46.7085534816,8.22601948865,630.5
327.0,61.210576,28.782635,70.1
