,id,gwh_per_mm3,latitude,longitude,type,rainfall,avg daily temp,min daily temp,max daily temp,sea level pressure,global radiation
135,H392,29.078014184397173,65.0222165,19.682859,HDAM,1.6778082439344224,2.0098081671977286,-2.0559177756870852,6.021671091469184,1008.2386424443494,91.63287671232877
136,H394,3.128555176336746,45.82519600000001,7.333163000000001,HDAM,3.4046576044330856,3.579451974777326,0.012767114750530622,7.508301168481169,1018.7186456549657,163.17808219178082
137,H402,0.8240601503759398,64.945753,15.827496,HDAM,1.9841096285271318,0.8641917695941991,-3.4316437529629633,4.942054686511624,1008.5460397380672,89.54246575342465
138,H406,0.9923916639100232,42.0135,24.2579,HDAM,1.708767147913371,11.731150421581857,5.847068389841955,17.639451693197433,1016.8939859468643,168.85205479452054
139,H409,1.930215293244247,60.95096649999989,12.545216,HDAM,2.1736986655078523,2.8493697858632427,-1.6975615861991498,7.644520376796184,1010.8172737853167,95.44109589041096
140,H410,2.711621233859397,41.763285,-8.20976499999999,HPHS,2.6465754035401017,14.132410640509365,8.126931304719351,20.75150636385565,1019.3624801008668,168.64657534246575
141,H42,2.7241379310344827,41.872,-8.2025,HPHS,2.6019178410098975,14.414739380307394,8.357451862954113,21.020848849048352,1019.3772738522047,167.8
142,H434,0.4836601307189543,48.6333,14.2375,HDAM,1.9632877065710825,6.898794347833689,1.9754520131096447,12.716766840393005,1018.0512484615796,132.4
143,H435,1.5625,46.443064,9.334613,HDAM,3.8145205910891704,3.5407122439768624,0.2069862987590979,7.325232731989802,1018.4887837449165,155.95890410958904
144,H439,0.4844961240310077,41.404999,21.936001,HDAM,1.2353424849575514,14.357479134059115,8.188629974506489,20.606136525330477,1016.5167254722281,180.74794520547945
145,H440,4.117647058823529,45.03048,6.07914,HDAM,2.501917852604226,8.36071214597315,2.794493098215085,13.764383262758182,1018.6052204288849,170.27123287671233
146,H45,10.638297872340424,42.104,19.826,HDAM,2.8071233279084504,13.599369581492796,8.021150499071977,19.28704065296748,1016.137272414116,173.1095890410959
147,H456,1.9101123595505616,63.74985,13.54035,HDAM,2.3197260727621103,1.665397215848916,-1.6264383285421216,5.183890283638484,1008.7397373983305,90.84657534246575
148,H465,0.8217821782178217,63.344498,13.4603049999999,HDAM,1.5860274295284325,2.6778629718067712,-0.9295616188686188,6.6573149085861365,1008.7890524668236,92.01369863013699
149,H47,5.891891891891893,45.68545,6.62248999999999,HDAM,4.029315128799987,3.9975615495433137,-0.2049588971758542,7.940136809391927,1018.8939866157427,166.18356164383562
150,H475,0.495609756097561,39.91727,-8.13243999999999,HDAM,1.8298630616436267,15.646903774183091,9.777397029163087,22.81525973228559,1018.7353577496255,190.7068493150685
151,H477,0.16642120765832105,41.958,0.634,HDAM,1.1301370072038206,12.989588740886482,7.172273819189366,20.047506375508764,1020.9441228997217,188.4986301369863
152,H486,0.2962962962962963,41.63253,25.33801,HDAM,1.6920548163048208,12.845479169814555,6.360136832603037,19.3560543483659,1016.7646703432684,173.0
153,H496,1.9908256880733943,41.584,26.108,HDAM,1.390410980459762,14.337616117237365,8.300164193466102,20.12287631039954,1016.6794644290454,175.7917808219178
154,H500,1.1531531531531531,46.349998,8.6,HDAM,3.4931507407802425,6.141588906596785,2.038054746093407,10.290766882421831,1018.3630267417594,155.16164383561645
155,H502,40.74074074074074,64.479423,18.878073,HDAM,1.5567123592716374,2.1486300956508884,-2.496958844874003,6.575945040593817,1008.4085064613656,92.04657534246576
156,H513,0.7705627705627706,54.87414,24.0,HDAM,1.8961644197163516,7.852575173739293,4.561451920570985,11.377533959132963,1014.2685070299123,109.22465753424657
157,H515,3.38,66.42400400000001,25.540001,HDAM,1.375890441463418,1.884986242600908,-1.8506300770307649,5.680547815464335,1008.7849458877355,92.85753424657534
