plant_id,gwh_per_mm3,latitude,longitude,type,altitude_m,nearest_lake_dist_km,days_of_rain,inches_of_rain,avg_high_temp,avg_low_temp
H715,0.1891891891891892,66.4990459999999,17.107241000000002,HDAM,542.1,1.3239483057537391,105,21.2,50,38
H72,31.555555555555557,46.7085534816,8.22601948865,HDAM,630.5,7.777836885208128,125,41.2,58,40
H720,0.058392857142857135,61.210576,28.782635,HDAM,70.1,6.552268457311503,119,24.9,47,35
H736,0.3708381171067737,65.476969,15.856519,HDAM,385.8,5.972728071056478,105,21.2,50,38
H743,0.2236486033144723,41.6428,24.153,HDAM,1194.9,7.665889796155167,81,22.8,59,41
H756,1.4438614900314797,40.9871,-7.5353,HDAM,535.4,3.747041168086201,77,28.6,70,56
H77,0.1886540600667408,38.890417,21.499583,HDAM,268.3,4.621852211918456,43,14.4,72,57
H78,25.294117647058826,66.503203,20.380167,HDAM,213.8,5.003219905377824,105,21.2,50,38
H783,17.3943661971831,46.59257,15.15301,HDAM,332.7,2.77157401652561,115,53.9,59,43
H795,0.08962868117797695,64.57875,26.76625,HDAM,118.0,1.2509965463204509,115,26.9,48,35
H8,2.5019047619047616,44.673,22.532,HDAM,53.4,9.643988742477877,95,27.2,63,47
H800,1.6226295828065742,41.7686,-7.9504,HDAM,714.6,1.6705086380536378,77,28.6,70,56
H804,0.08625,44.622793,22.641357,HDAM,53.3,4.072044872443688,81,22.8,59,41
H810,1.3947368421052628,44.177917,24.48375,HDAM,74.0,4.417029781775163,72,23.4,62,42
H811,1.0833333333333333,44.045417,24.57125,HDAM,64.0,3.8511925197700028,72,23.4,62,42
H812,0.8909090909090909,44.26625,24.400417,HDAM,89.0,5.954875564866907,72,23.4,62,42
H813,1.364864864864865,43.81625,24.69625,HDAM,37.0,3.745557926314133,72,23.4,62,42
H814,1.3205128205128205,43.920417,24.625417,HDAM,50.0,6.100293738357292,72,23.4,62,42
H83,30.357142857142854,46.05271,5.81285,HDAM,328.0,6.65373876709845,104,32.8,62,47
H84,18.79699248120301,46.4198999,6.9287696,HPHS,420.0,9.301475148223783,81,38.6,63,45
H850,1.0483870967741935,45.162083,22.732917,HDAM,671.2,1.2087502395477083,95,27.2,63,47
H851,0.7688888888888888,44.537083,24.325417,HDAM,134.0,4.952788229103191,72,23.4,62,42
H88,8.475609756097562,46.804819733900004,10.331344182999901,HDAM,1140.2,15.006216557210829,120,37.3,58,42
H886,1.2770809578107185,41.91922,24.19305,HDAM,1154.5,6.057101019318522,81,22.8,59,41
H888,0.12637362637362634,59.54375,13.299582999999998,HDAM,62.0,2.635538932341458,113,30.0,49,36
H894,7.052631578947367,45.120417,24.375417,HDAM,247.5,1.8793668740849119,72,23.4,62,42
H897,0.9083333333333332,47.651451,10.735525,HDAM,791.3,3.0651568286713062,129,38.1,55,40
H907,3.5,44.682917,24.292083,HDAM,145.0,4.5637019415803834,72,23.4,62,42
H908,8.91891891891892,45.012083,24.29625,HDAM,208.3,1.1112322395173546,72,23.4,62,42
H909,1.1089681774349085,46.337083,27.04625,HDAM,122.0,3.9161898995373,77,21.5,58,42
H910,1.0810810810810811,46.727083,23.29625,HDAM,520.0,1.4719086824470071,95,27.2,63,47
H918,1.7082250341997265,39.9622222,9.5055556,HDAM,693.0,5.632672022447566,78,31.4,71,48
H923,9.166666666666666,46.187083,27.18375,HDAM,108.0,1.2674890850756164,77,21.5,58,42
H936,4.203636363636363,41.41,-8.5,HDAM,123.0,35.348131023094936,77,28.6,70,56
H938,2.7333333333333334,64.717559,18.242239,HDAM,269.4,3.377081980578463,105,21.2,50,38
H94,2.696035242290749,46.0508221655,6.94899701138,HDAM,1124.5,4.219427681721038,81,38.6,63,45
H949,0.7870967741935484,45.495417,26.250417,HDAM,534.0,1.4654631369630045,72,23.4,62,42
H955,0.6673640167364017,39.5649,-7.8123,HDAM,89.3,3.635873237313232,77,28.6,70,56
H96,3.3571428571428568,46.5680720667,8.31932651704,HPHS,1942.2,0.9515322859210452,125,41.2,58,40
H97,0.5503144654088051,44.47095,6.26967,HDAM,739.0,1.5834901096578835,61,28.9,67,54
H974,0.2933333333333333,58.986325,14.106716,HDAM,59.2,7.782467463764286,113,30.0,49,36
H976,5.813953488372092,61.489482,16.381977,HDAM,115.9,1.869994361819565,105,21.2,50,38
H3424,1.669090909090909,46.159346,9.930337,HPHS,298.9,8.165852244499359,83,36.2,64,47
H3427,2.08,46.171156,10.06145,HDAM,834.7,10.396756931384727,120,37.3,58,42
N1,4.3010696774193535,58.29373399999999,6.453253,HDAM,102.2,1.9287385048398251,113,30.0,49,36
N4,62.079640974497785,58.65815500000001,6.728166000000001,HDAM,190.6,3.763311279254828,113,30.0,49,36
N5,6.924331818181818,58.65991,6.698752000000002,HDAM,57.6,3.7883235003400566,113,30.0,49,36
N7,26.226857142857146,58.50594200000001,7.417103999999998,HDAM,211.2,0.5830916633973998,113,30.0,49,36
N9,1.6046238095238097,58.76468199999999,6.36841,HDAM,315.7,1.859169956242036,113,30.0,49,36
N10,3.631472,59.01098100000001,6.445128,HDAM,629.5,2.5736409517486383,113,30.0,49,36
N12,2.403902019002375,58.77569200000001,7.012965,HDAM,719.5,1.0854514738421746,113,30.0,49,36
N13,2.487259615384616,58.93561800000001,7.088094,HDAM,897.3,1.0958450477389183,113,30.0,49,36
N14,0.19508,59.026673,7.089142999999999,HDAM,914.4,1.6245566419647737,113,30.0,49,36
N15,0.832711592178771,58.76363900000001,7.51007,HDAM,370.6,0.5532046786627695,113,30.0,49,36
N16,1.0396530303030302,58.983853,7.67232,HDAM,315.6,2.152240432422246,113,30.0,49,36
N21,2.254610886189833,58.390377,7.894692,HDAM,122.6,1.6428131894319555,113,30.0,49,36
N22,7.704329268292684,58.530437,8.334303,HDAM,129.8,2.512595188152294,113,30.0,49,36
N25,0.5609957219251337,68.090128,17.716649,HDAM,799.1,2.4758106490726304,105,21.2,50,38
N26,0.8265457732761979,58.906297,8.22607,HDAM,309.3,3.0532737202341007,113,30.0,49,36
N27,0.7861674988651838,58.951934,8.394045,HDAM,266.7,0.4539542105380301,113,30.0,49,36
N29,1.247160390516039,59.657665,6.096469,HDAM,202.7,0.4310198399901203,113,30.0,49,36
N30,2.176418823529412,59.657561,6.096339,HDAM,201.8,0.43041821672773856,113,30.0,49,36
N31,2.644078212290503,59.874602,6.073857,HDAM,621.5,1.1158357712587343,113,30.0,49,36
N34,0.4609723273415327,59.35312800000001,7.247816999999999,HDAM,913.6,3.112441230256877,113,30.0,49,36
N35,0.8941290322580646,59.353127,7.247782000000001,HDAM,913.8,3.1104671056630826,113,30.0,49,36
N36,5.255429054054055,59.12481,7.5063,HDAM,312.8,3.735557883591023,113,30.0,49,36
N37,2.0933577661431064,59.68751500000001,6.521502,HDAM,355.3,1.685164349961845,113,30.0,49,36
N38,12.324984642686507,59.526994,6.658841000000002,HDAM,334.5,3.915325833742077,113,30.0,49,36
N39,21.51154318181818,59.555761,6.598419,HDAM,374.4,4.3904135394347845,113,30.0,49,36
N40,9.373008695652171,59.651863,6.824512,HDAM,240.5,5.803132189765027,113,30.0,49,36
N42,6.214258064516129,59.690494,6.570213000000002,HDAM,555.7,1.0000606357925257,113,30.0,49,36
N43,1.4552391304347827,59.930933,6.197613,HDAM,737.1,1.5496342346874454,113,30.0,49,36
N44,1.3917171893147504,59.831861,6.881373,HDAM,679.9,2.8317548723814188,113,30.0,49,36
N45,3.0016611295681064,59.818537,6.818575999999998,HDAM,570.5,3.015329185973976,113,30.0,49,36
N46,1.508910714285714,59.850284,6.962739,HDAM,1141.3,2.2015801825448613,113,30.0,49,36
N47,0.7848877333333333,59.779587,7.728817999999999,HDAM,838.4,2.1933994786965894,113,30.0,49,36
N48,12.919639233370912,60.127577,6.337427,HDAM,334.6,1.5949815533935428,113,30.0,49,36
N49,2.283971361502348,60.125942,6.568911,HDAM,556.4,3.206678703084516,113,30.0,49,36
N50,3.0264892412231035,60.129931000000006,6.641964999999999,HDAM,524.3,0.9246966059243656,113,30.0,49,36
N53,0.6045906040268456,59.21679,8.451891999999999,HDAM,255.5,3.104410333260851,113,30.0,49,36
